dzlabel,dzcode,lalabel,rank,vigintile,pconlabel
Wick South - 05,S01010780,Highland,,8,"Caithness, Sutherland and Ross"
Wick South - 06,S01010781,Highland,,13,"Caithness, Sutherland and Ross"
Wick North - 01,S01010782,Highland,,5,"Caithness, Sutherland and Ross"
Wick North - 02,S01010783,Highland,,6,"Caithness, Sutherland and Ross"
Wick North - 03,S01010784,Highland,,2,"Caithness, Sutherland and Ross"
Wick North - 04,S01010785,Highland,,15,"Caithness, Sutherland and Ross"
Wick North - 05,S01010786,Highland,,12,"Caithness, Sutherland and Ross"
Caithness North East - 01,S01010787,Highland,,9,"Caithness, Sutherland and Ross"
Caithness North East - 02,S01010788,Highland,,12,"Caithness, Sutherland and Ross"
Caithness North East - 03,S01010789,Highland,,9,"Caithness, Sutherland and Ross"
Caithness North East - 04,S01010790,Highland,,9,"Caithness, Sutherland and Ross"
Caithness North East - 05,S01010791,Highland,,12,"Caithness, Sutherland and Ross"
Caithness North West - 01,S01010792,Highland,,6,"Caithness, Sutherland and Ross"
Caithness North West - 02,S01010793,Highland,,13,"Caithness, Sutherland and Ross"
Caithness North West - 03,S01010794,Highland,,10,"Caithness, Sutherland and Ross"
Caithness North West - 04,S01010795,Highland,,14,"Caithness, Sutherland and Ross"
Caithness North West - 05,S01010796,Highland,,12,"Caithness, Sutherland and Ross"
Caithness North West - 06,S01010797,Highland,,14,"Caithness, Sutherland and Ross"
Caithness North West - 07,S01010798,Highland,,10,"Caithness, Sutherland and Ross"
Thurso East - 01,S01010799,Highland,,8,"Caithness, Sutherland and Ross"
Thurso East - 02,S01010800,Highland,,9,"Caithness, Sutherland and Ross"
Thurso East - 03,S01010801,Highland,,7,"Caithness, Sutherland and Ross"
Thurso East - 04,S01010802,Highland,,9,"Caithness, Sutherland and Ross"
Thurso West - 01,S01010803,Highland,,4,"Caithness, Sutherland and Ross"
Thurso West - 02,S01010804,Highland,,15,"Caithness, Sutherland and Ross"
Thurso West - 03,S01010805,Highland,,14,"Caithness, Sutherland and Ross"
Thurso West - 04,S01010806,Highland,,5,"Caithness, Sutherland and Ross"
Thurso West - 05,S01010807,Highland,,11,"Caithness, Sutherland and Ross"
Thurso West - 06,S01010808,Highland,,14,"Caithness, Sutherland and Ross"
Thurso West - 07,S01010809,Highland,,15,"Caithness, Sutherland and Ross"
Sutherland North and West - 01,S01010810,Highland,,9,"Caithness, Sutherland and Ross"
Sutherland North and West - 02,S01010811,Highland,,10,"Caithness, Sutherland and Ross"
Sutherland North and West - 03,S01010812,Highland,,9,"Caithness, Sutherland and Ross"
Sutherland North and West - 05,S01010814,Highland,,9,"Caithness, Sutherland and Ross"
Sutherland North and West - 06,S01010815,Highland,,11,"Caithness, Sutherland and Ross"
Kilmacolm Central - 01,S01010816,Inverclyde,,19,Renfrewshire North and West
Kilmacolm Central - 02,S01010817,Inverclyde,,17,Renfrewshire North and West
Kilmacolm Central - 03,S01010818,Inverclyde,,18,Renfrewshire North and West
"Kilmacolm, Quarriers, Greenock Upper East/Central - 01",S01010819,Inverclyde,,12,Renfrewshire North and West
"Kilmacolm, Quarriers, Greenock Upper East/Central - 03",S01010821,Inverclyde,,20,Renfrewshire North and West
"Kilmacolm, Quarriers, Greenock Upper East/Central - 04",S01010822,Inverclyde,,9,Renfrewshire North and West
"Kilmacolm, Quarriers, Greenock Upper East/Central - 05",S01010823,Inverclyde,,13,Greenock and Inverclyde
Inverkip and Wemyss Bay - 01,S01010824,Inverclyde,,17,Greenock and Inverclyde
Inverkip and Wemyss Bay - 02,S01010825,Inverclyde,,17,Greenock and Inverclyde
Inverkip and Wemyss Bay - 03,S01010826,Inverclyde,,15,Greenock and Inverclyde
Inverkip and Wemyss Bay - 04,S01010827,Inverclyde,,17,Greenock and Inverclyde
Inverkip and Wemyss Bay - 05,S01010828,Inverclyde,,17,Greenock and Inverclyde
Inverkip and Wemyss Bay - 06,S01010829,Inverclyde,,12,Greenock and Inverclyde
Inverkip and Wemyss Bay - 07,S01010830,Inverclyde,,13,Greenock and Inverclyde
"West Braeside, East Inverkip and West Gourock - 01",S01010832,Inverclyde,,11,Greenock and Inverclyde
"West Braeside, East Inverkip and West Gourock - 02",S01010833,Inverclyde,,16,Greenock and Inverclyde
"West Braeside, East Inverkip and West Gourock - 03",S01010834,Inverclyde,,16,Greenock and Inverclyde
"West Braeside, East Inverkip and West Gourock - 04",S01010835,Inverclyde,,17,Greenock and Inverclyde
Gourock Upper and West Central and Upper Larkfield - 01,S01010836,Inverclyde,,17,Greenock and Inverclyde
Gourock Upper and West Central and Upper Larkfield - 02,S01010837,Inverclyde,,11,Greenock and Inverclyde
Gourock Upper and West Central and Upper Larkfield - 03,S01010838,Inverclyde,,13,Greenock and Inverclyde
Gourock Upper and West Central and Upper Larkfield - 04,S01010839,Inverclyde,,13,Greenock and Inverclyde
Gourock Upper and West Central and Upper Larkfield - 05,S01010840,Inverclyde,,11,Greenock and Inverclyde
Gourock Upper and West Central and Upper Larkfield - 06,S01010841,Inverclyde,,13,Greenock and Inverclyde
"Gourock Central, Upper East and IRH - 01",S01010842,Inverclyde,,2,Greenock and Inverclyde
"Gourock Central, Upper East and IRH - 02",S01010843,Inverclyde,,4,Greenock and Inverclyde
"Gourock Central, Upper East and IRH - 03",S01010844,Inverclyde,,17,Greenock and Inverclyde
"Gourock Central, Upper East and IRH - 04",S01010845,Inverclyde,,12,Greenock and Inverclyde
"Gourock Central, Upper East and IRH - 05",S01010846,Inverclyde,,6,Greenock and Inverclyde
"Gourock Central, Upper East and IRH - 06",S01010847,Inverclyde,,17,Greenock and Inverclyde
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 01",S01010848,Inverclyde,,2,Greenock and Inverclyde
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 02",S01010849,Inverclyde,,2,Greenock and Inverclyde
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 04",S01010851,Inverclyde,,2,Greenock and Inverclyde
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 05",S01010852,Inverclyde,,6,Greenock and Inverclyde
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 06",S01010853,Inverclyde,,7,Greenock and Inverclyde
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 07",S01010854,Inverclyde,,2,Greenock and Inverclyde
"Braeside, Branchton, Lower Larkfield and Ravenscraig - 08",S01010855,Inverclyde,,5,Greenock and Inverclyde
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 01",S01010856,Inverclyde,,3,Greenock and Inverclyde
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 02",S01010857,Inverclyde,,9,Greenock and Inverclyde
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 03",S01010858,Inverclyde,,3,Greenock and Inverclyde
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 04",S01010859,Inverclyde,,2,Greenock and Inverclyde
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 05",S01010860,Inverclyde,,6,Greenock and Inverclyde
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl - 06",S01010861,Inverclyde,,2,Greenock and Inverclyde
"Gourock East, Greenock West and Lyle Road - 01",S01010863,Inverclyde,,13,Greenock and Inverclyde
"Gourock East, Greenock West and Lyle Road - 02",S01010864,Inverclyde,,18,Greenock and Inverclyde
"Gourock East, Greenock West and Lyle Road - 03",S01010865,Inverclyde,,17,Greenock and Inverclyde
"Gourock East, Greenock West and Lyle Road - 04",S01010866,Inverclyde,,11,Greenock and Inverclyde
"Gourock East, Greenock West and Lyle Road - 05",S01010867,Inverclyde,,17,Greenock and Inverclyde
"Gourock East, Greenock West and Lyle Road - 06",S01010868,Inverclyde,,11,Greenock and Inverclyde
"Gourock East, Greenock West and Lyle Road - 07",S01010869,Inverclyde,,19,Greenock and Inverclyde
Greenock West and Central - 01,S01010870,Inverclyde,,14,Greenock and Inverclyde
Greenock West and Central - 02,S01010871,Inverclyde,,14,Greenock and Inverclyde
Greenock West and Central - 03,S01010872,Inverclyde,,6,Greenock and Inverclyde
Greenock West and Central - 04,S01010873,Inverclyde,,1,Greenock and Inverclyde
Greenock West and Central - 05,S01010874,Inverclyde,,15,Greenock and Inverclyde
Greenock West and Central - 06,S01010875,Inverclyde,,8,Greenock and Inverclyde
Greenock West and Central - 07,S01010876,Inverclyde,,5,Greenock and Inverclyde
Greenock West and Central - 08,S01010877,Inverclyde,,6,Greenock and Inverclyde
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 01",S01010878,Inverclyde,,8,Greenock and Inverclyde
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 02",S01010879,Inverclyde,,9,Greenock and Inverclyde
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 04",S01010881,Inverclyde,,9,Greenock and Inverclyde
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 05",S01010882,Inverclyde,,14,Greenock and Inverclyde
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton - 06",S01010883,Inverclyde,,11,Greenock and Inverclyde
Greenock Upper Central - 01,S01010884,Inverclyde,,1,Greenock and Inverclyde
Greenock Upper Central - 02,S01010885,Inverclyde,,1,Greenock and Inverclyde
Greenock Upper Central - 03,S01010886,Inverclyde,,5,Greenock and Inverclyde
Greenock Upper Central - 04,S01010887,Inverclyde,,2,Greenock and Inverclyde
Greenock Upper Central - 05,S01010888,Inverclyde,,3,Greenock and Inverclyde
Greenock Town Centre and East Central - 01,S01010890,Inverclyde,,1,Greenock and Inverclyde
Greenock Town Centre and East Central - 03,S01010892,Inverclyde,,1,Greenock and Inverclyde
Greenock Town Centre and East Central - 04,S01010893,Inverclyde,,1,Greenock and Inverclyde
Greenock Town Centre and East Central - 05,S01010894,Inverclyde,,2,Greenock and Inverclyde
Greenock Town Centre and East Central - 06,S01010895,Inverclyde,,1,Greenock and Inverclyde
Greenock Town Centre and East Central - 07,S01010896,Inverclyde,,1,Greenock and Inverclyde
Greenock East - 02,S01010899,Inverclyde,,8,Greenock and Inverclyde
Greenock East - 03,S01010900,Inverclyde,,2,Greenock and Inverclyde
Greenock East - 05,S01010902,Inverclyde,,4,Greenock and Inverclyde
Greenock East - 08,S01010905,Inverclyde,,7,Greenock and Inverclyde
Greenock East - 09,S01010906,Inverclyde,,4,Greenock and Inverclyde
"Port Glasgow Upper, West and Central - 01",S01010907,Inverclyde,,18,Greenock and Inverclyde
"Port Glasgow Upper, West and Central - 02",S01010908,Inverclyde,,4,Greenock and Inverclyde
"Port Glasgow Upper, West and Central - 03",S01010909,Inverclyde,,13,Greenock and Inverclyde
"Port Glasgow Upper, West and Central - 04",S01010910,Inverclyde,,1,Greenock and Inverclyde
"Port Glasgow Upper, West and Central - 05",S01010911,Inverclyde,,1,Greenock and Inverclyde
"Port Glasgow Upper, West and Central - 06",S01010912,Inverclyde,,1,Greenock and Inverclyde
"Port Glasgow Upper, West and Central - 07",S01010913,Inverclyde,,8,Greenock and Inverclyde
"Port Glasgow Upper, West and Central - 08",S01010914,Inverclyde,,9,Greenock and Inverclyde
"Port Glasgow Mid, East and Central - 01",S01010916,Inverclyde,,1,Greenock and Inverclyde
"Port Glasgow Mid, East and Central - 02",S01010917,Inverclyde,,4,Greenock and Inverclyde
"Port Glasgow Mid, East and Central - 03",S01010918,Inverclyde,,5,Greenock and Inverclyde
"Port Glasgow Mid, East and Central - 04",S01010919,Inverclyde,,4,Greenock and Inverclyde
"Port Glasgow Mid, East and Central - 05",S01010920,Inverclyde,,2,Greenock and Inverclyde
Port Glasgow Upper East - 01,S01010923,Inverclyde,,4,Greenock and Inverclyde
Port Glasgow Upper East - 03,S01010925,Inverclyde,,3,Greenock and Inverclyde
Port Glasgow Upper East - 05,S01010927,Inverclyde,,4,Greenock and Inverclyde
Port Glasgow Upper East - 07,S01010929,Inverclyde,,2,Greenock and Inverclyde
Rural South Midlothian - 01,S01010930,Midlothian,,16,"Midlothian South, Tweeddale and Lauderdale"
Rural South Midlothian - 02,S01010931,Midlothian,,15,"Midlothian South, Tweeddale and Lauderdale"
Rural South Midlothian - 03,S01010932,Midlothian,,7,Midlothian North and Musselburgh
Rural South Midlothian - 04,S01010933,Midlothian,,12,Midlothian North and Musselburgh
Penicuik Southeast - 01,S01010934,Midlothian,,17,"Midlothian South, Tweeddale and Lauderdale"
Penicuik Southeast - 02,S01010935,Midlothian,,15,"Midlothian South, Tweeddale and Lauderdale"
Penicuik Southeast - 03,S01010936,Midlothian,,6,"Midlothian South, Tweeddale and Lauderdale"
Penicuik Southeast - 04,S01010937,Midlothian,,16,"Midlothian South, Tweeddale and Lauderdale"
Penicuik Southeast - 05,S01010938,Midlothian,,5,"Midlothian South, Tweeddale and Lauderdale"
Penicuik Southwest - 01,S01010939,Midlothian,,13,"Midlothian South, Tweeddale and Lauderdale"
Penicuik Southwest - 02,S01010940,Midlothian,,20,"Midlothian South, Tweeddale and Lauderdale"
Penicuik Southwest - 03,S01010941,Midlothian,,18,"Midlothian South, Tweeddale and Lauderdale"
Penicuik Southwest - 04,S01010942,Midlothian,,19,"Midlothian South, Tweeddale and Lauderdale"
Penicuik Southwest - 05,S01010943,Midlothian,,8,"Midlothian South, Tweeddale and Lauderdale"
Penicuik Southwest - 06,S01010944,Midlothian,,4,"Midlothian South, Tweeddale and Lauderdale"
Penicuik East - 01,S01010945,Midlothian,,6,"Midlothian South, Tweeddale and Lauderdale"
Penicuik East - 02,S01010946,Midlothian,,6,"Midlothian South, Tweeddale and Lauderdale"
Penicuik East - 03,S01010947,Midlothian,,8,"Midlothian South, Tweeddale and Lauderdale"
Penicuik East - 04,S01010948,Midlothian,,8,"Midlothian South, Tweeddale and Lauderdale"
Penicuik North - 01,S01010949,Midlothian,,17,"Midlothian South, Tweeddale and Lauderdale"
Penicuik North - 02,S01010950,Midlothian,,10,"Midlothian South, Tweeddale and Lauderdale"
Penicuik North - 03,S01010951,Midlothian,,11,"Midlothian South, Tweeddale and Lauderdale"
Penicuik North - 04,S01010952,Midlothian,,13,"Midlothian South, Tweeddale and Lauderdale"
Penicuik North - 05,S01010953,Midlothian,,12,"Midlothian South, Tweeddale and Lauderdale"
Pentland - 01,S01010954,Midlothian,,17,"Midlothian South, Tweeddale and Lauderdale"
Pentland - 02,S01010955,Midlothian,,17,"Midlothian South, Tweeddale and Lauderdale"
Pentland - 03,S01010956,Midlothian,,14,"Midlothian South, Tweeddale and Lauderdale"
Roslin and Bilston - 01,S01010957,Midlothian,,18,Midlothian North and Musselburgh
Roslin and Bilston - 02,S01010958,Midlothian,,13,Midlothian North and Musselburgh
Roslin and Bilston - 03,S01010959,Midlothian,,13,Midlothian North and Musselburgh
Roslin and Bilston - 04,S01010960,Midlothian,,8,Midlothian North and Musselburgh
Roslin and Bilston - 05,S01010961,Midlothian,,7,Midlothian North and Musselburgh
Straiton - 02,S01010963,Midlothian,,11,Midlothian North and Musselburgh
Straiton - 03,S01010964,Midlothian,,11,Midlothian North and Musselburgh
Straiton - 04,S01010965,Midlothian,,4,Midlothian North and Musselburgh
Loanhead - 01,S01010966,Midlothian,,9,Midlothian North and Musselburgh
Loanhead - 02,S01010967,Midlothian,,7,Midlothian North and Musselburgh
Loanhead - 03,S01010968,Midlothian,,12,Midlothian North and Musselburgh
Loanhead - 04,S01010969,Midlothian,,8,Midlothian North and Musselburgh
Loanhead - 05,S01010970,Midlothian,,10,Midlothian North and Musselburgh
Bonnyrigg South - 01,S01010971,Midlothian,,13,Midlothian North and Musselburgh
Bonnyrigg South - 02,S01010972,Midlothian,,5,Midlothian North and Musselburgh
Bonnyrigg South - 03,S01010973,Midlothian,,11,Midlothian North and Musselburgh
Bonnyrigg South - 04,S01010974,Midlothian,,6,Midlothian North and Musselburgh
Bonnyrigg South - 06,S01010976,Midlothian,,9,Midlothian North and Musselburgh
Bonnyrigg South - 07,S01010977,Midlothian,,10,Midlothian North and Musselburgh
Bonnyrigg North - 01,S01010978,Midlothian,,6,Midlothian North and Musselburgh
Bonnyrigg North - 02,S01010979,Midlothian,,7,Midlothian North and Musselburgh
Bonnyrigg North - 03,S01010980,Midlothian,,6,Midlothian North and Musselburgh
Bonnyrigg North - 04,S01010981,Midlothian,,7,Midlothian North and Musselburgh
Bonnyrigg North - 05,S01010982,Midlothian,,13,Midlothian North and Musselburgh
Bonnyrigg North - 06,S01010983,Midlothian,,10,Midlothian North and Musselburgh
Bonnyrigg North - 07,S01010984,Midlothian,,15,Midlothian North and Musselburgh
Newbattle and Dalhousie - 01,S01010985,Midlothian,,12,Midlothian North and Musselburgh
Newbattle and Dalhousie - 02,S01010986,Midlothian,,18,Midlothian North and Musselburgh
Newbattle and Dalhousie - 03,S01010987,Midlothian,,19,Midlothian North and Musselburgh
Newbattle and Dalhousie - 04,S01010988,Midlothian,,20,Midlothian North and Musselburgh
Newbattle and Dalhousie - 05,S01010989,Midlothian,,19,Midlothian North and Musselburgh
Newbattle and Dalhousie - 06,S01010990,Midlothian,,9,Midlothian North and Musselburgh
Newbattle and Dalhousie - 07,S01010991,Midlothian,,15,Midlothian North and Musselburgh
Newbattle and Dalhousie - 08,S01010992,Midlothian,,17,"Midlothian South, Tweeddale and Lauderdale"
Newbattle and Dalhousie - 09,S01010993,Midlothian,,13,"Midlothian South, Tweeddale and Lauderdale"
Eskbank - 01,S01010994,Midlothian,,16,Midlothian North and Musselburgh
Eskbank - 02,S01010995,Midlothian,,20,Midlothian North and Musselburgh
Eskbank - 03,S01010996,Midlothian,,17,Midlothian North and Musselburgh
Eskbank - 04,S01010997,Midlothian,,20,Midlothian North and Musselburgh
Eskbank - 05,S01010998,Midlothian,,18,Midlothian North and Musselburgh
Eskbank - 06,S01010999,Midlothian,,14,Midlothian North and Musselburgh
Shawfair - 01,S01011000,Midlothian,,12,Midlothian North and Musselburgh
Shawfair - 02,S01011001,Midlothian,,8,Midlothian North and Musselburgh
Shawfair - 03,S01011002,Midlothian,,7,Midlothian North and Musselburgh
Shawfair - 04,S01011003,Midlothian,,9,Midlothian North and Musselburgh
Shawfair - 05,S01011004,Midlothian,,15,Midlothian North and Musselburgh
Thornybank - 01,S01011005,Midlothian,,5,Midlothian North and Musselburgh
Thornybank - 02,S01011006,Midlothian,,8,Midlothian North and Musselburgh
Thornybank - 03,S01011007,Midlothian,,7,Midlothian North and Musselburgh
Thornybank - 04,S01011008,Midlothian,,5,Midlothian North and Musselburgh
Dalkeith - 01,S01011010,Midlothian,,2,Midlothian North and Musselburgh
Dalkeith - 02,S01011011,Midlothian,,1,Midlothian North and Musselburgh
Dalkeith - 03,S01011012,Midlothian,,1,Midlothian North and Musselburgh
Dalkeith - 04,S01011013,Midlothian,,7,Midlothian North and Musselburgh
Pathhead and Rural East Midlothian - 01,S01011014,Midlothian,,10,Midlothian North and Musselburgh
Pathhead and Rural East Midlothian - 03,S01011016,Midlothian,,15,Midlothian North and Musselburgh
Pathhead and Rural East Midlothian - 04,S01011017,Midlothian,,9,Midlothian North and Musselburgh
Pathhead and Rural East Midlothian - 05,S01011018,Midlothian,,10,Midlothian North and Musselburgh
Pathhead and Rural East Midlothian - 06,S01011019,Midlothian,,12,Midlothian North and Musselburgh
Pathhead and Rural East Midlothian - 07,S01011020,Midlothian,,18,"Midlothian South, Tweeddale and Lauderdale"
Easthouses - 01,S01011021,Midlothian,,6,Midlothian North and Musselburgh
Easthouses - 02,S01011022,Midlothian,,3,Midlothian North and Musselburgh
Easthouses - 03,S01011023,Midlothian,,7,Midlothian North and Musselburgh
Easthouses - 04,S01011024,Midlothian,,4,Midlothian North and Musselburgh
Mayfield - 01,S01011025,Midlothian,,5,Midlothian North and Musselburgh
Mayfield - 03,S01011027,Midlothian,,3,Midlothian North and Musselburgh
Mayfield - 05,S01011029,Midlothian,,5,Midlothian North and Musselburgh
Mayfield - 06,S01011030,Midlothian,,12,Midlothian North and Musselburgh
Newtongrange - 01,S01011031,Midlothian,,6,"Midlothian South, Tweeddale and Lauderdale"
Newtongrange - 02,S01011032,Midlothian,,7,"Midlothian South, Tweeddale and Lauderdale"
Newtongrange - 03,S01011033,Midlothian,,11,"Midlothian South, Tweeddale and Lauderdale"
Newtongrange - 04,S01011034,Midlothian,,6,"Midlothian South, Tweeddale and Lauderdale"
Newtongrange - 05,S01011035,Midlothian,,6,"Midlothian South, Tweeddale and Lauderdale"
Newtongrange - 06,S01011036,Midlothian,,8,"Midlothian South, Tweeddale and Lauderdale"
North Gorebridge - 01,S01011037,Midlothian,,5,"Midlothian South, Tweeddale and Lauderdale"
North Gorebridge - 02,S01011038,Midlothian,,4,"Midlothian South, Tweeddale and Lauderdale"
North Gorebridge - 03,S01011039,Midlothian,,9,"Midlothian South, Tweeddale and Lauderdale"
Gorebridge and Middleton - 01,S01011040,Midlothian,,5,"Midlothian South, Tweeddale and Lauderdale"
Gorebridge and Middleton - 02,S01011041,Midlothian,,5,"Midlothian South, Tweeddale and Lauderdale"
Gorebridge and Middleton - 03,S01011042,Midlothian,,11,"Midlothian South, Tweeddale and Lauderdale"
Gorebridge and Middleton - 04,S01011043,Midlothian,,6,"Midlothian South, Tweeddale and Lauderdale"
Gorebridge and Middleton - 05,S01011044,Midlothian,,4,"Midlothian South, Tweeddale and Lauderdale"
South Speyside and the Cabrach - 01,S01011045,Moray,,12,Moray
South Speyside and the Cabrach - 02,S01011046,Moray,,11,Moray
South Speyside and the Cabrach - 03,S01011047,Moray,,14,Moray
South Speyside and the Cabrach - 04,S01011048,Moray,,11,Moray
South Speyside and the Cabrach - 05,S01011049,Moray,,13,Moray
North Speyside - 01,S01011050,Moray,,13,Moray
North Speyside - 02,S01011051,Moray,,13,Moray
North Speyside - 03,S01011052,Moray,,15,Moray
North Speyside - 04,S01011053,Moray,,9,Moray
North Speyside - 05,S01011054,Moray,,13,Moray
Rural Keith and Strathisla - 01,S01011055,Moray,,13,Moray
Rural Keith and Strathisla - 02,S01011056,Moray,,11,Moray
Rural Keith and Strathisla - 03,S01011057,Moray,,13,Moray
Rural Keith and Strathisla - 04,S01011058,Moray,,11,Banffshire and Buchan Coast
Rural Keith and Strathisla - 05,S01011059,Moray,,12,Banffshire and Buchan Coast
Keith and Fife Keith - 01,S01011060,Moray,,12,Moray
Keith and Fife Keith - 02,S01011061,Moray,,6,Moray
Keith and Fife Keith - 03,S01011062,Moray,,11,Moray
Keith and Fife Keith - 04,S01011063,Moray,,7,Moray
Keith and Fife Keith - 05,S01011064,Moray,,13,Moray
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 01",S01011065,Moray,,12,Banffshire and Buchan Coast
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 02",S01011066,Moray,,16,Banffshire and Buchan Coast
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 03",S01011067,Moray,,12,Banffshire and Buchan Coast
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 04",S01011068,Moray,,11,Banffshire and Buchan Coast
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 05",S01011069,Moray,,9,Banffshire and Buchan Coast
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 06",S01011070,Moray,,14,Banffshire and Buchan Coast
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 07",S01011071,Moray,,15,Banffshire and Buchan Coast
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 08",S01011072,Moray,,10,Banffshire and Buchan Coast
Buckie Central East - 01,S01011073,Moray,,11,Banffshire and Buchan Coast
Buckie Central East - 02,S01011074,Moray,,11,Banffshire and Buchan Coast
Buckie Central East - 03,S01011075,Moray,,5,Banffshire and Buchan Coast
Buckie Central East - 04,S01011076,Moray,,9,Banffshire and Buchan Coast
Buckie Central East - 05,S01011077,Moray,,6,Banffshire and Buchan Coast
Buckie West and Mains of Buckie - 01,S01011078,Moray,,16,Banffshire and Buchan Coast
Buckie West and Mains of Buckie - 02,S01011079,Moray,,13,Banffshire and Buchan Coast
Buckie West and Mains of Buckie - 03,S01011080,Moray,,9,Banffshire and Buchan Coast
Buckie West and Mains of Buckie - 04,S01011081,Moray,,9,Banffshire and Buchan Coast
Buckie West and Mains of Buckie - 05,S01011082,Moray,,6,Banffshire and Buchan Coast
"Mosstodloch, Portgordon and seaward - 01",S01011083,Moray,,11,Moray
"Mosstodloch, Portgordon and seaward - 02",S01011084,Moray,,14,Moray
"Mosstodloch, Portgordon and seaward - 03",S01011085,Moray,,14,Moray
"Mosstodloch, Portgordon and seaward - 04",S01011086,Moray,,14,Moray
"Mosstodloch, Portgordon and seaward - 05",S01011087,Moray,,11,Moray
"Fochabers, Aultmore, Clochan and Ordiquish - 01",S01011088,Moray,,16,Moray
"Fochabers, Aultmore, Clochan and Ordiquish - 03",S01011090,Moray,,12,Moray
"Heldon West, Fogwatt to Inchberry - 01",S01011091,Moray,,12,Moray
"Heldon West, Fogwatt to Inchberry - 03",S01011093,Moray,,15,Moray
"Heldon West, Fogwatt to Inchberry - 04",S01011094,Moray,,17,Moray
"Heldon West, Fogwatt to Inchberry - 05",S01011095,Moray,,15,Moray
"Lhanbryde, Urquhart, Pitgavney and seaward - 01",S01011096,Moray,,14,Moray
"Lhanbryde, Urquhart, Pitgavney and seaward - 02",S01011097,Moray,,16,Moray
"Lhanbryde, Urquhart, Pitgavney and seaward - 03",S01011098,Moray,,14,Moray
"Lhanbryde, Urquhart, Pitgavney and seaward - 04",S01011099,Moray,,5,Moray
"Lhanbryde, Urquhart, Pitgavney and seaward - 05",S01011100,Moray,,11,Moray
Elgin Cathedral to Ashgrove and Pinefield - 01,S01011101,Moray,,4,Moray
Elgin Cathedral to Ashgrove and Pinefield - 02,S01011102,Moray,,5,Moray
Elgin Cathedral to Ashgrove and Pinefield - 03,S01011103,Moray,,6,Moray
Elgin Cathedral to Ashgrove and Pinefield - 04,S01011104,Moray,,9,Moray
Elgin Cathedral to Ashgrove and Pinefield - 05,S01011105,Moray,,7,Moray
Elgin Cathedral to Ashgrove and Pinefield - 06,S01011106,Moray,,10,Moray
New Elgin East - 01,S01011107,Moray,,9,Moray
New Elgin East - 02,S01011108,Moray,,11,Moray
New Elgin East - 03,S01011109,Moray,,14,Moray
New Elgin East - 04,S01011110,Moray,,8,Moray
New Elgin East - 05,S01011111,Moray,,4,Moray
New Elgin West - 01,S01011112,Moray,,20,Moray
New Elgin West - 02,S01011113,Moray,,11,Moray
New Elgin West - 03,S01011114,Moray,,15,Moray
New Elgin West - 04,S01011115,Moray,,8,Moray
New Elgin West - 05,S01011116,Moray,,15,Moray
Elgin Central West - 01,S01011117,Moray,,13,Moray
Elgin Central West - 02,S01011118,Moray,,18,Moray
Elgin Central West - 03,S01011119,Moray,,15,Moray
Elgin Central West - 04,S01011120,Moray,,19,Moray
Elgin Bishopmill East and Ladyhill - 01,S01011121,Moray,,8,Moray
Elgin Bishopmill East and Ladyhill - 02,S01011122,Moray,,13,Moray
Elgin Bishopmill East and Ladyhill - 03,S01011123,Moray,,12,Moray
Elgin Bishopmill East and Ladyhill - 04,S01011124,Moray,,13,Moray
Elgin Bishopmill East and Ladyhill - 05,S01011125,Moray,,6,Moray
Elgin Bishopmill West and Newfield - 03,S01011128,Moray,,10,Moray
Elgin Bishopmill West and Newfield - 04,S01011129,Moray,,17,Moray
Elgin Bishopmill West and Newfield - 05,S01011130,Moray,,11,Moray
Lossiemouth East and Seatown - 01,S01011131,Moray,,17,Moray
Lossiemouth East and Seatown - 02,S01011132,Moray,,20,Moray
Lossiemouth East and Seatown - 03,S01011133,Moray,,9,Moray
Lossiemouth East and Seatown - 04,S01011134,Moray,,13,Moray
Lossiemouth East and Seatown - 05,S01011135,Moray,,10,Moray
Lossiemouth West - 01,S01011136,Moray,,14,Moray
Lossiemouth West - 02,S01011137,Moray,,14,Moray
