SOA2001,NIIMDRank
95GG49S2,790
95GG49S3,482
95GG49S4,556
95GG50S1,155
95GG50S2,128
95GG50S3,96
95GG51S1,8
95GG51S2,12
95GG51S3,17
95HH01W1,605
95HH02S1,766
95HH02S2,810
95HH03W1,791
95HH04S1,774
95HH04S2,829
95HH05W1,286
95HH06S1,752
95HH06S2,617
95HH07W1,276
95HH08W1,783
95HH09W1,252
95HH10W1,865
95HH11W1,173
95HH12W1,536
95HH13W1,65
95HH14W1,230
95HH15W1,609
95HH16W1,699
95HH17W1,644
95II01S1,784
95II01S2,827
95II02S1,853
95II02S2,733
95II02S3,549
95II03S1,880
95II03S2,845
95II04S1,860
95II04S2,511
95II05S1,814
95II05S2,725
95II06S1,851
95II06S2,872
95II07W1,241
95II08W1,687
95II09S1,807
95II09S2,838
95II10W1,371
95II11W1,883
95II12W1,877
95II13W1,410
95II14W1,884
95II15S1,870
95II15S2,867
95II16W1,615
95II17W1,641
95II18W1,293
95II19S1,821
95II19S2,740
95II20W1,815
95II21W1,248
95II22W1,614
95II23W1,836
95JJ01W1,550
95JJ02W1,213
95JJ03S1,31
95JJ03S2,160
95JJ04S1,373
95JJ04S2,450
95JJ05W1,137
95JJ06W1,172
95JJ07W1,157
95JJ08S1,337
95JJ08S2,793
95JJ09W1,547
95JJ10W1,272
95JJ11S1,626
95JJ11S2,593
95JJ12W1,407
95JJ13S1,542
95JJ13S2,665
95JJ14W1,458
95JJ15W1,471
95JJ16W1,253
95JJ17W1,341
95JJ18W1,105
95JJ19S1,835
95JJ19S2,861
95JJ20S1,592
95JJ20S2,539
95JJ21W1,398
95JJ22W1,708
95KK01W1,206
95KK02W1,492
95KK03W1,271
95KK04W1,404
95KK05W1,314
95KK06W1,254
95KK07W1,434
95KK08W1,406
95KK09W1,390
95KK10W1,397
95KK11W1,296
95KK12W1,167
95KK13W1,478
95KK14W1,408
95KK15W1,531
95KK16W1,561
95LL01S1,649
95LL01S2,684
95LL02S1,583
95LL02S2,73
95LL03W1,200
95LL04W1,412
95LL05S1,825
95LL05S2,631
95LL06S1,423
95LL06S2,447
95LL07W1,62
95LL08S1,129
95LL08S2,108
95LL09S1,54
95LL09S2,179
95LL10S1,697
95LL10S2,608
95LL11S1,519
95LL11S2,727
95LL12S1,208
95LL12S2,52
95LL13S1,262
95LL13S2,81
95LL14S1,83
95LL14S2,351
95LL15S1,427
95LL15S2,682
95LL16S1,780
95LL16S2,616
95LL17W1,468
95LL18S1,678
95LL18S2,775
95LL19S1,746
95LL19S2,689
95LL20W1,301
95LL21W1,417
95LL22W1,332
95LL23W1,164
95LL24S1,534
95LL24S2,577
95LL25S1,715
95LL25S2,767
95LL26S1,14
95LL26S2,772
95MM01S1,101
95MM01S2,545
95MM01S3,525
95MM02S1,621
95MM02S2,808
95MM03W1,245
95MM04W1,196
95MM05W1,13
95MM06S1,226
95MM06S2,59
95MM07W1,287
95MM08S1,43
95MM08S2,633
95MM09S1,490
95MM09S2,340
95MM10S1,10
95MM10S2,69
95MM11W1,33
95MM12S1,142
95MM12S2,3
95MM12S3,149
95MM13S1,650
95MM13S2,22
95MM13S3,130
95MM13S4,300
95MM13S5,738
95MM14S1,416
95MM14S2,38
95MM15S1,421
95MM15S2,636
95MM16S1,180
95MM16S2,634
95MM17S1,713
95MM17S2,229
95MM18S1,470
95MM18S2,603
95MM19S1,630
95MM19S2,415
95MM20S1,274
95MM20S2,513
95MM21S1,278
95MM21S2,739
95MM22S1,419
95MM22S2,755
95MM23W1,68
95MM24W1,86
95MM25S1,19
95MM25S2,27
95MM25S3,51
95MM25S4,327
95MM26S1,144
95MM26S2,578
95MM27S1,5
95MM27S2,405
95MM28W1,6
95MM29W1,153
95MM30W1,45
95NN01S1,176
95NN01S2,305
95NN02W1,599
95NN03S1,396
95NN03S2,475
95NN04W1,115
95NN05W1,283
95NN06S1,235
95NN06S2,455
95NN07S1,352
95NN07S2,106
95NN08S1,669
95NN08S2,660
95NN09S1,716
95NN09S2,464
95NN10S1,442
95NN10S2,671
95NN11S1,364
95NN11S2,629
95NN12W1,321
95NN13W1,666
95NN14S1,217
95NN14S2,261
95NN15W1,381
95NN16S1,735
95NN16S2,693
95NN17W1,89
95NN18S1,186
95NN18S2,761
95NN19S1,771
95NN19S2,781
95NN20W1,429
95NN21W1,295
95NN22W1,474
95NN23S1,375
95NN23S2,372
95OO01W1,313
95OO02W1,479
95OO03W1,344
95OO04W1,232
95OO05W1,239
95OO06W1,494
95OO07W1,465
95OO08W1,625
95OO09W1,331
95OO10W1,329
95OO11W1,92
95OO12W1,360
95OO13W1,662
95OO14W1,425
95OO15W1,291
95OO16W1,431
95OO17W1,560
95OO18W1,624
95OO19W1,558
95OO20W1,586
95OO21W1,355
95OO22W1,476
95PP01W1,526
95PP02W1,238
95PP03W1,151
95PP04W1,399
95PP05W1,366
95PP06S1,357
95PP06S2,466
95PP07W1,436
95PP08W1,362
95PP09W1,44
95PP10W1,234
95PP11W1,216
95PP12W1,275
95PP13W1,143
95PP14S1,211
95PP14S2,392
95PP15W1,622
95PP16W1,413
95PP17W1,182
95PP18W1,394
95PP19W1,112
95PP20W1,214
95PP21W1,114
95PP22W1,409
95PP23W1,309
95QQ01W1,156
95QQ02W1,612
95QQ03W1,104
95QQ04W1,367
95QQ05W1,729
95QQ06W1,369
95QQ07W1,192
95QQ08W1,209
95QQ09W1,595
95QQ10W1,281
95QQ11W1,555
95QQ12W1,441
95QQ13W1,514
95QQ14S1,728
95QQ14S2,568
95QQ15W1,292
95RR01S1,414
95RR01S2,493
95RR02W1,251
95RR03W1,34
95RR04W1,145
95RR05S1,610
95RR05S2,127
95RR06W1,203
95RR07W1,446
95RR08W1,365
95RR09S1,290
95RR09S2,265
95RR10W1,11
95RR11W1,491
95RR12W1,348
95RR13W1,191
95RR14W1,194
95RR15W1,440
95SS01S1,673
95SS01S2,695
95SS02S1,655
95SS02S2,844
95SS03S1,700
95SS03S2,659
95SS04S1,361
95SS04S2,535
95SS04S3,723
95SS05S1,509
95SS05S2,837
95SS06S1,63
95SS06S2,20
95SS06S3,26
95SS07S1,487
95SS07S2,554
95SS07S3,567
95SS08S1,769
95SS08S2,675
95SS09S1,764
95SS09S2,709
95SS10S1,572
95SS10S2,831
95SS11S1,703
95SS11S2,645
95SS12W1,852
95SS13S1,190
95SS13S2,202
95SS14S1,277
95SS14S2,690
95SS15S1,862
95SS15S2,812
95SS16S1,553
95SS16S2,107
95SS17S1,576
95SS17S2,346
95SS18S1,246
95SS18S2,380
95SS19S1,606
95SS19S2,359
95SS20W1,809
95SS21S1,712
95SS21S2,742
95SS22S1,753
95SS22S2,857
95SS23S1,787
95SS23S2,646
95SS24S1,804
95SS24S2,796
95SS25W1,118
95SS26S1,39
95SS26S2,454
95SS27W1,418
95SS28W1,282
95SS29S1,42
95SS29S2,36
95SS30S1,858
95SS30S2,842
95TT01W1,664
95TT02W1,541
95TT03S1,453
95TT03S2,607
95TT04W1,389
95TT05S1,688
95TT05S2,227
95TT06W1,589
95TT07W1,674
95TT08W1,563
95TT09S1,527
95TT09S2,661
95TT10W1,255
95TT11S1,562
95TT11S2,459
95TT12W1,582
95TT13S1,435
95TT13S2,218
95TT14W1,544
95TT15W1,358
95TT16W1,510
95UU06W1,584
95UU09W1,543
95UU14W1,221
95UU99C1,169
95UU99C2,177
95UU99C3,460
95UU99C4,210
95UU99C5,499
95UU99C6,124
95VV01S1,363
95VV01S2,187
95VV02W1,93
95VV03W1,132
95VV04W1,335
95VV05S1,473
95VV05S2,663
95VV06W1,260
95VV07S1,133
95VV07S2,619
95VV08W1,72
95VV09W1,57
95VV10S1,171
95VV10S2,75
95VV11S1,686
95VV11S2,557
95VV12S1,147
95VV12S2,237
95VV13S1,334
95VV13S2,504
95VV14S1,326
95VV14S2,279
95VV15S1,70
95VV15S2,551
95VV16W1,243
95VV17S1,249
95VV17S2,100
95VV18S1,540
95VV18S2,258
95VV19S1,500
95VV19S2,113
95VV20W1,336
95VV21S1,378
95VV21S2,587
95VV22W1,111
95VV23W1,385
95VV24S1,620
95VV24S2,244
95VV25S1,94
95VV25S2,220
95VV26W1,284
95VV27W1,207
95VV28S1,400
95VV28S2,126
95VV29W1,322
95VV30S1,710
95VV30S2,370
95WW01S1,451
95WW01S2,428
95WW02S1,489
95WW02S2,571
95WW03S1,324
95WW03S2,732
95WW04S1,486
95WW04S2,654
95WW05S1,705
95WW05S2,507
95WW06S1,653
95WW06S2,800
95WW07S1,777
95WW07S2,748
95WW08S1,754
95WW08S2,759
95WW09S1,165
95WW09S2,782
95WW10S1,618
95WW10S2,469
95WW11S1,802
95WW11S2,760
95WW12W1,103
95WW13S1,799
95WW13S2,694
95WW14W1,84
95WW15S1,724
95WW15S2,826
95WW16S1,638
95WW16S2,195
95WW17W1,495
95WW18W1,517
95WW19S1,779
95WW19S2,878
95WW19S3,871
95WW20S1,745
95WW20S2,792
95WW20S3,839
95WW21S1,117
95WW21S2,462
95WW22S1,722
95WW22S2,193
95WW23S1,628
95WW23S2,886
95WW24S1,319
95WW24S2,184
95WW25W1,135
95XX01S1,863
95XX01S2,830
95XX01S3,737
95XX02W1,840
95XX03S1,751
95XX03S2,847
95XX04S1,864
95XX04S2,714
95XX05W1,585
95XX06S1,354
95XX06S2,523
95XX07S1,726
95XX07S2,868
95XX08S1,776
95XX08S2,789
95XX09S1,798
95XX09S2,788
95XX10S1,307
95XX10S2,702
95XX10S3,356
95XX11S1,497
95XX11S2,602
95XX11S3,134
95XX12W1,756
95XX13W1,824
95XX14W1,762
95XX15W1,317
95XX16W1,768
95XX17S1,174
95XX17S2,632
95XX18W1,647
95XX19W1,816
95XX20S1,250
95XX20S2,480
95XX21W1,818
95XX22W1,532
95XX23W1,530
95XX24S1,855
95XX24S2,731
95XX25W1,242
95YY01W1,422
95YY02W1,312
95YY03W1,461
95YY04W1,438
95YY05W1,316
95YY06W1,383
95YY07W1,395
95YY08W1,311
95YY09W1,323
95YY10W1,512
95YY11W1,138
95YY12W1,573
95YY13S1,529
95YY13S2,188
95YY14S1,264
95YY14S2,445
95YY15S1,47
95YY15S2,46
95YY16W1,452
95YY17W1,257
95YY18W1,289
95YY19W1,168
95YY20W1,280
95YY21W1,379
95ZZ01W1,376
95ZZ02W1,37
95ZZ03W1,152
95ZZ04W1,333
95ZZ05W1,148
95ZZ06W1,1
95ZZ07W1,166
95ZZ08W1,90
95ZZ09W1,201
95ZZ10W1,141
95ZZ11W1,304
95ZZ12W1,175
95ZZ13W1,299
95ZZ14S1,236
95ZZ14S2,477
95ZZ15W1,266
95ZZ16S1,205
95ZZ16S2,170
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
