dzlabel,lalabel,rank
S01007046,Aberdeenshire,2973
S01007047,Aberdeenshire,4050
S01007048,Aberdeenshire,3750
S01007049,Aberdeenshire,2922
S01007050,Aberdeenshire,4065
S01007051,Aberdeenshire,5505
S01007052,Aberdeenshire,4384
S01007053,Aberdeenshire,4272
S01007054,Aberdeenshire,4108
S01007055,Aberdeenshire,4867
S01007056,Aberdeenshire,3790
S01007057,Aberdeenshire,5350
S01007058,Aberdeenshire,3555
S01007059,Aberdeenshire,4671
S01007060,Aberdeenshire,2727
S01007061,Aberdeenshire,5248
S01007062,Aberdeenshire,4726
S01007063,Aberdeenshire,5464
S01007064,Aberdeenshire,4285
S01007065,Aberdeenshire,5210
S01007066,Aberdeenshire,4189
S01007067,Aberdeenshire,5146
S01007068,Aberdeenshire,2700
S01007069,Aberdeenshire,4454
S01007070,Aberdeenshire,2175
S01007071,Aberdeenshire,4667
S01007072,Aberdeenshire,6087
S01007073,Aberdeenshire,5665
S01007074,Aberdeenshire,3673
S01007075,Aberdeenshire,2431
S01007076,Aberdeenshire,3648
S01007077,Aberdeenshire,4533
S01007078,Aberdeenshire,2874
S01007079,Aberdeenshire,2464
S01007080,Aberdeenshire,2298
S01007081,Aberdeenshire,2043
S01007082,Aberdeenshire,1994
S01007083,Aberdeenshire,1390
S01007084,Aberdeenshire,4062
S01007085,Aberdeenshire,2466
S01007086,Aberdeenshire,754
S01007087,Aberdeenshire,1217
S01007088,Aberdeenshire,884
S01007089,Aberdeenshire,5569
S01007090,Aberdeenshire,5700
S01007091,Aberdeenshire,3991
S01007092,Aberdeenshire,2346
S01007093,Aberdeenshire,5809
S01007094,Aberdeenshire,4251
S01007095,Aberdeenshire,4028
S01007096,Aberdeenshire,5269
S01007097,Aberdeenshire,3584
S01007098,Aberdeenshire,5749
S01007099,Aberdeenshire,4956
S01007100,Aberdeenshire,3825
S01007101,Aberdeenshire,2203
S01007102,Aberdeenshire,3540
S01007103,Aberdeenshire,4688
S01007104,Aberdeenshire,4053
S01007105,Aberdeenshire,3833
S01007106,Aberdeenshire,3405
S01007107,Aberdeenshire,4886
S01007108,Aberdeenshire,2916
S01007109,Aberdeenshire,2705
S01007125,Aberdeenshire,3178
S01007110,Aberdeenshire,2765
S01007126,Aberdeenshire,536
S01007111,Aberdeenshire,3952
S01007127,Aberdeenshire,1078
S01007112,Aberdeenshire,5963
S01007128,Aberdeenshire,2020
S01007113,Aberdeenshire,4699
S01007129,Angus,5814
S01007114,Aberdeenshire,5538
S01007130,Angus,5529
S01007115,Aberdeenshire,4417
S01007131,Angus,5946
S01007116,Aberdeenshire,6239
S01007132,Angus,6675
S01007117,Aberdeenshire,6626
S01007133,Angus,3537
S01007118,Aberdeenshire,2035
S01007134,Angus,3504
S01007119,Aberdeenshire,1778
S01007135,Angus,5068
S01007120,Aberdeenshire,1648
S01007136,Angus,5579
S01007121,Aberdeenshire,1677
S01007137,Angus,5969
S01007122,Aberdeenshire,3296
S01007138,Angus,5037
S01007123,Aberdeenshire,3299
S01007139,Angus,4546
S01007124,Aberdeenshire,4489
S01007140,Angus,4557
S01007141,Angus,4199
S01007142,Angus,6135
S01007143,Angus,6885
S01007144,Angus,3962
S01007145,Angus,4778
S01007146,Angus,6058
S01007147,Angus,5510
S01007148,Angus,6299
S01007149,Angus,5641
S01007150,Angus,6335
S01007151,Angus,6631
S01007152,Angus,5561
S01007153,Angus,5134
S01007154,Angus,4117
S01007155,Angus,5242
S01007156,Angus,4762
S01007157,Angus,3003
